pdb_file,original_framework_rmsd,original_framework_rmsd_allow_reflect,A_chain_framework_rmsd,A_chain_framework_rmsd_allow_reflect,B_chain_framework_rmsd,B_chain_framework_rmsd_allow_reflect,total_framework_rmsd,total_framework_rmsd_allow_reflect
A6_0.pdb,1.4414,1.4414,1.0888,1.0888,1.0044,1.0044,2.0932,2.0932
A6_1.pdb,1.4791,1.4791,1.1394,1.1394,1.0125,1.0125,2.1518,2.1518
A6_2.pdb,1.4896,1.4896,1.1184,1.1184,1.1320,1.1320,2.2504,2.2504
A6_3.pdb,1.4549,1.4549,1.1279,1.1279,1.0607,1.0607,2.1886,2.1886
A6_4.pdb,1.4975,1.4975,1.1371,1.1371,1.1078,1.1078,2.2449,2.2449
A6_5.pdb,1.5039,1.5039,1.1303,1.1303,1.1306,1.1306,2.2609,2.2609
A6_6.pdb,1.5120,1.5120,1.0834,1.0834,1.1408,1.1408,2.2241,2.2241
A6_7.pdb,1.4722,1.4722,1.1011,1.1011,0.9829,0.9829,2.0840,2.0840
A6_8.pdb,1.5052,1.5052,1.1490,1.1490,1.1286,1.1286,2.2776,2.2776
A6_9.pdb,1.4693,1.4693,1.0710,1.0710,1.0989,1.0989,2.1699,2.1699
A6_10.pdb,1.5412,1.5412,1.0977,1.0977,1.0897,1.0897,2.1873,2.1873
A6_11.pdb,1.6074,1.6074,1.1448,1.1448,1.2392,1.2392,2.3840,2.3840
A6_12.pdb,1.4645,1.4645,1.1201,1.1201,1.1031,1.1031,2.2232,2.2232
A6_13.pdb,1.4386,1.4386,1.0729,1.0729,1.1154,1.1154,2.1883,2.1883
A6_14.pdb,1.4409,1.4409,1.0780,1.0780,0.9873,0.9873,2.0653,2.0653
A6_15.pdb,1.6781,1.6781,1.0777,1.0777,1.3547,1.3547,2.4324,2.4324
A6_16.pdb,1.4533,1.4533,1.0773,1.0773,1.0929,1.0929,2.1702,2.1702
A6_17.pdb,1.4195,1.4195,1.1249,1.1249,1.0174,1.0174,2.1423,2.1423
A6_18.pdb,1.6383,1.6383,1.0923,1.0923,1.3219,1.3219,2.4141,2.4141
A6_19.pdb,1.5148,1.5148,1.1956,1.1956,1.1224,1.1224,2.3179,2.3179
A6_20.pdb,1.5051,1.5051,1.1505,1.1505,1.0913,1.0913,2.2418,2.2418
A6_21.pdb,1.6047,1.6047,1.1223,1.1223,1.3409,1.3409,2.4633,2.4633
A6_22.pdb,1.5198,1.5198,1.0788,1.0788,1.1030,1.1030,2.1819,2.1819
A6_23.pdb,1.3719,1.3719,1.0554,1.0554,0.9372,0.9372,1.9926,1.9926
A6_24.pdb,1.6022,1.6022,1.1418,1.1418,1.2173,1.2173,2.3591,2.3591
A6_25.pdb,1.5745,1.5745,1.1151,1.1151,1.2830,1.2830,2.3981,2.3981
A6_26.pdb,1.5153,1.5153,1.0734,1.0734,1.1785,1.1785,2.2519,2.2519
