pdb_file,framework_ca_rmsd,avg_framework_lddt
A6_0.pdb,17.581933597808874,1.0
A6_1.pdb,17.591205335370848,1.0
A6_2.pdb,17.65474799496233,1.0
A6_3.pdb,17.58752022931805,1.0
A6_4.pdb,17.61941066249836,1.0
A6_5.pdb,17.604683725619278,1.0
A6_6.pdb,17.609515998521733,1.0
A6_7.pdb,17.643888482066004,1.0
A6_8.pdb,17.60789276994178,1.0
A6_9.pdb,17.63337612081693,1.0
A6_10.pdb,17.59896728254581,1.0
A6_11.pdb,17.62372513041162,1.0
A6_12.pdb,17.63161118959889,1.0
A6_13.pdb,17.638043369092475,1.0
A6_14.pdb,17.61377106918586,1.0
A6_15.pdb,17.582989099528096,1.0
A6_16.pdb,17.55974905285551,1.0
A6_17.pdb,17.591363510583484,1.0
A6_18.pdb,17.61225813718161,1.0
A6_19.pdb,17.589029386742258,1.0
A6_20.pdb,17.614694871636143,1.0
A6_21.pdb,17.603918753371055,1.0
A6_22.pdb,17.613717518102163,1.0
A6_23.pdb,17.60705512325957,1.0
A6_24.pdb,17.614814493619512,1.0
A6_25.pdb,17.62185135651872,1.0
A6_26.pdb,17.63065385304895,1.0
A6_27.pdb,17.628751771650986,1.0
A6_28.pdb,17.614872871103966,1.0
A6_29.pdb,17.621236966278367,1.0
A6_30.pdb,17.608333503686822,1.0
A6_31.pdb,17.607779301801088,1.0
A6_32.pdb,17.61733291445827,1.0
A6_33.pdb,17.653631308322737,1.0
A6_34.pdb,17.603435101082415,1.0
A6_35.pdb,17.59203198834946,1.0
A6_36.pdb,17.611773412066178,1.0
A6_37.pdb,17.62268543321635,1.0
A6_38.pdb,17.627184496263144,1.0
A6_39.pdb,17.581162207920443,1.0
A6_40.pdb,17.591196176034074,1.0
A6_41.pdb,17.628039483042407,1.0
A6_42.pdb,17.613927852586365,1.0
A6_43.pdb,17.61915435852249,1.0
A6_44.pdb,17.62406583196354,1.0
A6_45.pdb,17.62404951509546,1.0
A6_46.pdb,17.60450451702627,1.0
A6_47.pdb,17.60084861150313,1.0
A6_48.pdb,17.62555265422899,1.0
A6_49.pdb,17.587145236878694,1.0
A6_50.pdb,17.604456274084654,1.0
A6_51.pdb,17.593346168982947,1.0
A6_52.pdb,17.59082653776916,1.0
A6_53.pdb,17.621933829513072,1.0
A6_54.pdb,17.627006532361378,1.0
A6_55.pdb,17.611915569858134,1.0
A6_56.pdb,17.59036827501239,1.0
A6_57.pdb,17.602980515387827,1.0
A6_58.pdb,17.62998001036985,1.0
A6_59.pdb,17.623070308714553,1.0
A6_60.pdb,17.570081705858886,1.0
A6_61.pdb,17.634391259263765,1.0
A6_62.pdb,17.564528433588645,1.0
A6_63.pdb,17.591792143878816,1.0
A6_64.pdb,17.634739677368987,1.0
A6_65.pdb,17.599415155623063,1.0
A6_66.pdb,17.646779104836554,1.0
A6_67.pdb,17.64289713120946,1.0
A6_68.pdb,17.623418611403867,1.0
A6_69.pdb,17.615378604520753,1.0
A6_70.pdb,17.5802233773147,1.0
A6_71.pdb,17.55337493306856,1.0
A6_72.pdb,17.631563184099477,1.0
A6_73.pdb,17.605127960378873,1.0
A6_74.pdb,17.60199112490241,1.0
A6_75.pdb,17.607038753928,1.0
A6_76.pdb,17.61540076793667,1.0
A6_77.pdb,17.623700948778584,1.0
A6_78.pdb,17.585574533240234,1.0
A6_79.pdb,17.616512836744295,1.0
A6_80.pdb,17.605534037198193,1.0
A6_81.pdb,17.610917830150516,1.0
A6_82.pdb,17.62973942188302,1.0
A6_83.pdb,17.596140172856945,1.0
A6_84.pdb,17.6463515811017,1.0
A6_85.pdb,17.639039174533387,1.0
A6_86.pdb,17.58146362699464,1.0
A6_87.pdb,17.619902737544237,1.0
A6_88.pdb,17.616201842044074,1.0
A6_89.pdb,17.61335493312734,1.0
A6_90.pdb,17.605818098028596,1.0
A6_91.pdb,17.59979587476111,1.0
A6_92.pdb,17.594024539257184,1.0
A6_93.pdb,17.634445443379686,1.0
A6_94.pdb,17.65799322132497,1.0
A6_95.pdb,17.596335540739577,1.0
A6_96.pdb,17.56564970717105,1.0
A6_97.pdb,17.610828307097826,1.0
A6_98.pdb,17.573144081333943,1.0
A6_99.pdb,17.58648488708023,1.0
