pdb_file,original_framework_rmsd,original_framework_rmsd_allow_reflect,A_chain_framework_rmsd,A_chain_framework_rmsd_allow_reflect,B_chain_framework_rmsd,B_chain_framework_rmsd_allow_reflect,total_framework_rmsd,total_framework_rmsd_allow_reflect
DMF5_0.pdb,1.4631,1.4631,0.9893,0.9893,1.3913,1.3913,2.3807,2.3807
DMF5_1.pdb,1.4803,1.4803,0.9868,0.9868,1.3550,1.3550,2.3418,2.3418
DMF5_2.pdb,1.5531,1.5531,1.0633,1.0633,1.3256,1.3256,2.3889,2.3889
DMF5_3.pdb,1.4544,1.4544,1.0554,1.0554,1.0829,1.0829,2.1383,2.1383
DMF5_4.pdb,1.6921,1.6921,1.1757,1.1757,1.4376,1.4376,2.6133,2.6133
DMF5_5.pdb,1.4253,1.4253,0.9923,0.9923,1.0854,1.0854,2.0778,2.0778
DMF5_6.pdb,1.4495,1.4495,1.0435,1.0435,1.1737,1.1737,2.2172,2.2172
DMF5_7.pdb,1.5290,1.5290,1.0695,1.0695,1.3613,1.3613,2.4309,2.4309
DMF5_8.pdb,1.4363,1.4363,1.0386,1.0386,1.1332,1.1332,2.1718,2.1718
DMF5_9.pdb,1.4016,1.4016,0.9809,0.9809,1.1185,1.1185,2.0995,2.0995
DMF5_10.pdb,1.3914,1.3914,0.9945,0.9945,1.1211,1.1211,2.1156,2.1156
DMF5_11.pdb,1.4585,1.4585,1.0797,1.0797,1.1306,1.1306,2.2103,2.2103
DMF5_12.pdb,1.4426,1.4426,1.0215,1.0215,1.2027,1.2027,2.2242,2.2242
DMF5_13.pdb,1.5354,1.5354,1.1050,1.1050,1.1197,1.1197,2.2247,2.2247
DMF5_14.pdb,1.5315,1.5315,1.0051,1.0051,1.3826,1.3826,2.3877,2.3877
DMF5_15.pdb,1.4889,1.4889,1.0134,1.0134,1.2047,1.2047,2.2180,2.2180
DMF5_16.pdb,1.6218,1.6218,1.0790,1.0790,1.4602,1.4602,2.5392,2.5392
DMF5_17.pdb,1.4462,1.4462,1.0616,1.0616,1.1384,1.1384,2.1999,2.1999
DMF5_18.pdb,1.4777,1.4777,1.0349,1.0349,1.3292,1.3292,2.3640,2.3640
DMF5_19.pdb,1.4193,1.4193,1.0286,1.0286,1.1499,1.1499,2.1785,2.1785
DMF5_20.pdb,1.4202,1.4202,1.0275,1.0275,1.1619,1.1619,2.1894,2.1894
DMF5_21.pdb,1.5429,1.5429,1.0476,1.0476,1.1790,1.1790,2.2265,2.2265
DMF5_22.pdb,1.3820,1.3820,1.0786,1.0786,1.0067,1.0067,2.0853,2.0853
DMF5_23.pdb,1.4145,1.4145,1.0028,1.0028,1.1897,1.1897,2.1924,2.1924
DMF5_24.pdb,1.4263,1.4263,1.0719,1.0719,1.1165,1.1165,2.1884,2.1884
DMF5_25.pdb,1.5844,1.5844,0.9576,0.9576,1.4012,1.4012,2.3587,2.3587
DMF5_26.pdb,1.5388,1.5388,1.0319,1.0319,1.3902,1.3902,2.4221,2.4221
DMF5_27.pdb,1.4564,1.4564,1.0014,1.0014,1.1877,1.1877,2.1891,2.1891
DMF5_28.pdb,1.4743,1.4743,1.0143,1.0143,1.2261,1.2261,2.2404,2.2404
DMF5_29.pdb,1.4471,1.4471,1.0469,1.0469,1.1443,1.1443,2.1911,2.1911
DMF5_30.pdb,1.5321,1.5321,1.0293,1.0293,1.3780,1.3780,2.4073,2.4073
DMF5_31.pdb,1.4095,1.4095,0.9937,0.9937,1.1506,1.1506,2.1443,2.1443
DMF5_32.pdb,1.4971,1.4971,0.9798,0.9798,1.3658,1.3658,2.3456,2.3456
DMF5_33.pdb,1.4672,1.4672,1.0676,1.0676,1.2803,1.2803,2.3479,2.3479
DMF5_34.pdb,1.4309,1.4309,0.9277,0.9277,1.2206,1.2206,2.1483,2.1483
DMF5_35.pdb,1.5414,1.5414,1.0336,1.0336,1.2935,1.2935,2.3271,2.3271
DMF5_36.pdb,1.4988,1.4988,1.0546,1.0546,1.2461,1.2461,2.3007,2.3007
DMF5_37.pdb,1.5295,1.5295,1.1672,1.1672,1.1936,1.1936,2.3608,2.3608
DMF5_38.pdb,1.4671,1.4671,1.0594,1.0594,1.1478,1.1478,2.2073,2.2073
DMF5_39.pdb,1.4384,1.4384,1.0405,1.0405,1.1239,1.1239,2.1644,2.1644
DMF5_40.pdb,1.4800,1.4800,1.1893,1.1893,1.0643,1.0643,2.2536,2.2536
DMF5_41.pdb,1.5026,1.5026,1.0260,1.0260,1.3638,1.3638,2.3898,2.3898
DMF5_42.pdb,1.3568,1.3568,1.0227,1.0227,1.0661,1.0661,2.0887,2.0887
DMF5_43.pdb,1.4172,1.4172,1.0666,1.0666,1.1190,1.1190,2.1856,2.1856
DMF5_44.pdb,1.5228,1.5228,1.0033,1.0033,1.3980,1.3980,2.4013,2.4013
DMF5_45.pdb,1.5151,1.5151,1.0609,1.0609,1.3651,1.3651,2.4259,2.4259
DMF5_46.pdb,1.5940,1.5940,1.0827,1.0827,1.4122,1.4122,2.4949,2.4949
DMF5_47.pdb,1.5391,1.5391,1.0254,1.0254,1.3823,1.3823,2.4077,2.4077
DMF5_48.pdb,1.4929,1.4929,1.0728,1.0728,1.3326,1.3326,2.4054,2.4054
DMF5_49.pdb,1.3305,1.3305,0.9533,0.9533,0.9511,0.9511,1.9044,1.9044
DMF5_50.pdb,1.5567,1.5567,1.0713,1.0713,1.4079,1.4079,2.4792,2.4792
DMF5_51.pdb,1.4358,1.4358,1.0485,1.0485,1.1611,1.1611,2.2096,2.2096
DMF5_52.pdb,1.5388,1.5388,1.1906,1.1906,1.2246,1.2246,2.4152,2.4152
DMF5_53.pdb,1.5744,1.5744,1.1962,1.1962,1.1556,1.1556,2.3518,2.3518
DMF5_54.pdb,1.4012,1.4012,1.0767,1.0767,1.0560,1.0560,2.1327,2.1327
DMF5_55.pdb,1.4593,1.4593,1.2208,1.2208,1.0388,1.0388,2.2596,2.2596
DMF5_56.pdb,1.5243,1.5243,1.0422,1.0422,1.3982,1.3982,2.4404,2.4404
DMF5_57.pdb,1.5439,1.5439,1.0210,1.0210,1.3203,1.3203,2.3413,2.3413
DMF5_58.pdb,1.4767,1.4767,1.0169,1.0169,1.3687,1.3687,2.3856,2.3856
DMF5_59.pdb,1.5036,1.5036,0.9817,0.9817,1.4038,1.4038,2.3855,2.3855
DMF5_60.pdb,1.4067,1.4067,1.0938,1.0938,1.1336,1.1336,2.2274,2.2274
DMF5_61.pdb,1.4407,1.4407,1.1039,1.1039,1.1742,1.1742,2.2781,2.2781
DMF5_62.pdb,1.5206,1.5206,1.0591,1.0591,1.3633,1.3633,2.4223,2.4223
DMF5_63.pdb,1.5592,1.5592,0.9795,0.9795,1.4106,1.4106,2.3900,2.3900
DMF5_64.pdb,1.6141,1.6141,1.2499,1.2499,1.4008,1.4008,2.6507,2.6507
DMF5_65.pdb,1.4490,1.4490,1.0936,1.0936,1.1737,1.1737,2.2673,2.2673
DMF5_66.pdb,1.5870,1.5870,1.0505,1.0505,1.4012,1.4012,2.4517,2.4517
DMF5_67.pdb,1.4450,1.4450,1.0719,1.0719,0.9862,0.9862,2.0581,2.0581
DMF5_68.pdb,1.4525,1.4525,0.9808,0.9808,1.1761,1.1761,2.1569,2.1569
DMF5_69.pdb,1.4962,1.4962,1.2599,1.2599,1.0410,1.0410,2.3009,2.3009
DMF5_70.pdb,1.4909,1.4909,0.9936,0.9936,1.2926,1.2926,2.2862,2.2862
DMF5_71.pdb,1.4641,1.4641,1.1198,1.1198,1.1609,1.1609,2.2807,2.2807
DMF5_72.pdb,1.5722,1.5722,1.1261,1.1261,1.2903,1.2903,2.4164,2.4164
DMF5_73.pdb,1.4311,1.4311,1.0367,1.0367,1.1741,1.1741,2.2108,2.2108
DMF5_74.pdb,1.5075,1.5075,1.0404,1.0404,1.3311,1.3311,2.3715,2.3715
DMF5_75.pdb,1.5390,1.5390,1.0679,1.0679,1.3501,1.3501,2.4180,2.4180
